,subjects,AV,CL,CM,CeM,L-Sg,LD,LGN,LP,MDl,MDm,MGN,MV(Re),Pc,Pf,Pt,PuA,PuI,PuL,PuM,VA,VAmc,VLa,VLp,VM,VPL,Whole_thalamus
263,MR4133_NPVI,109.836664,25.245151,237.251141,61.984771,23.872482,23.378008,257.200275,90.61841,262.730117,694.796208,132.855531,11.837783,4.289178,65.415106,6.836654,252.183865,241.636557,232.598428,1173.012711,368.587177,28.151547,602.297686,770.307197,23.445151,872.412608,6572.780407
264,RsBq_MRT,127.107425,33.109129,232.302243,67.501263,17.610885,29.065702,264.045691,124.322269,292.363445,791.245747,93.207139,14.313731,3.844228,63.436673,6.947177,257.127512,278.279053,203.564525,1293.54316,352.866333,29.900395,569.799804,775.924773,23.663041,879.527096,6824.618439
265,S01_fvlZ_MRT,138.839952,40.508986,282.288251,74.598772,20.802436,31.061955,256.622841,148.835321,316.205112,794.782153,110.044942,15.995111,3.817916,70.080039,8.236725,214.682851,231.189048,196.341934,1100.84979,390.383768,33.909108,612.85284,844.760233,30.36779,1037.602733,7005.660605
266,S02_rXLM_MRT,165.356991,36.014504,268.367809,86.864519,27.878603,26.498814,283.376175,142.558549,317.686557,825.822934,101.618399,19.038548,4.630047,72.770199,8.250605,256.332116,232.738752,209.972436,1259.830381,462.227724,37.246677,738.419001,950.266606,27.008864,976.669268,7537.445077
267,S03_SSLb_MRT,161.296021,38.590211,289.051547,71.809255,19.765333,37.291781,244.51335,151.955716,269.0685,738.462133,129.108965,15.813582,4.4638,76.127857,8.309771,243.22466,251.160971,196.914818,1287.536505,419.640347,34.406992,677.998827,897.495127,30.561849,1051.128674,7345.696593
268,S04_TCCN_MRT,150.544984,43.029685,254.948545,79.249182,22.021672,29.940352,309.862116,149.052741,248.331481,740.721464,81.882921,15.287518,5.071647,64.009926,7.60412,243.603399,353.753748,253.393858,1332.469282,416.873211,36.056542,626.83579,820.052516,28.178216,965.839715,7278.61463
269,S05_MkZj_MRT,168.864366,37.56487,254.861007,69.97089,18.764822,30.072234,242.981943,150.213916,267.235122,712.398627,117.370695,13.149763,4.682,67.273705,8.268038,251.560641,306.763474,228.261528,1330.703727,436.622822,36.694087,679.382677,906.519345,31.505396,1066.556054,7438.241751
270,S06_InDz_MRT,159.919724,46.074468,235.2002,73.141382,23.533698,43.50429,249.388205,156.588972,271.788897,702.156458,103.97718,14.447227,4.265187,66.539292,7.068111,235.764139,302.847799,242.31253,1302.449073,418.953698,32.400065,598.965633,820.442638,21.761727,901.966373,7035.456964
271,S07_Svvp_MRT,148.508982,39.463794,274.974714,68.913159,15.472713,35.591783,301.061795,169.356394,304.314563,818.676684,108.505549,14.248354,4.529488,77.268835,8.007042,262.302594,285.835056,218.699342,1290.118629,393.614649,33.976354,669.224739,899.721551,27.832019,1065.300103,7535.518885
272,S08_xKVz_MRT,139.305339,39.521736,247.790185,60.74704,23.582048,30.983742,282.855783,157.289441,261.579421,654.308513,119.308291,11.327239,3.889302,69.742498,7.246445,229.311456,301.860855,205.463556,1235.033677,396.915137,29.722755,632.64341,863.800422,25.805755,1010.752832,7040.786875
